county_name,censuskey,c14_median_income,c14_trav_time_to_work,c14_total_pop,c14_pct_hispanic,c14_pct_non_hispanic,c14_pct_white,c14_pct_black,c14_pct_asian,c14_pct_multirace,c14_pct_occupation_agriculture,c14_pct_occupation_mining,c14_pct_occupation_manufacturing,c14_pct_occupation_other_svcs,c14_pct_occupation_public_admin,c14_pct_occupation_retail,c14_pct_occupation_wholesale,c14_pct_occupation_armed_forces,c14_pct_occupation_employedcivilian,c14_pct_occupation_unemployedcivilian,c14_pct_occupation_farming,c14_pct_nohsdegree,c14_pct_hsdegree,c14_pct_somecollege,c14_pct_collegedegree,c14_pct_privateschool,c14_pct_publicschool,c14_pop_density_sqmile,c14_pct_renter,c14_pct_owner,c14_pct_multitenant,n_adults
TYLER,48457,38658,32,1333,5.65,94.34,83.459375,10.5175,0.3575,1.673125,7.540625,4.28625,9.445,4.5875,5.434375,6.9575,0.904375,0,91.419375,8.58125,2.326875,16.10,39.62,28.14,11.87,2.68,97.31,93,17.334375,82.665625,3.42,12056
UPSHUR,48459,44068,28,1493,7.54,92.45,83.0496296296296,9.69444444444444,0.573703703703704,2.50333333333333,1.68259259259259,3.27111111111111,12.6174074074074,4.94555555555556,4.32074074074074,9.9037037037037,2.17851851851852,0,95.3218518518519,4.67814814814815,1.95,14.84,36.29,27.11,17.28,4.78,95.21,265,21.73,78.27,7.13,25732
UPTON,48461,50913,19,1107,52.57,47.42,73.3833333333333,2.02666666666667,0.226666666666667,2.39666666666667,5.15333333333333,9.44333333333333,5.57666666666667,6.02333333333333,6.49333333333333,4.87,2.79,0,97.1766666666667,2.82333333333333,2.17,27.78,36.68,20.79,12.13,0.00,100.00,413,21.8466666666667,78.1533333333333,3.88,2172
UVALDE,48463,35684,19,1504,66.65,33.34,78.7022222222222,0.912222222222222,0.673888888888889,3.12944444444444,5.14888888888889,3.53833333333333,4.69777777777778,5.34611111111111,7.00944444444444,10.3122222222222,2.51944444444444,0.00555555555555556,93.625,6.36944444444444,5.05277777777778,29.38,23.53,24.21,18.96,0.53,99.46,980,27.5005555555556,72.5,8.42,14411
VAL VERDE,48465,40526,18,1436,78.88,21.11,85.0117647058823,1.66676470588235,0.603823529411765,2.07882352941176,1.78823529411765,1.14352941176471,6.14,5.38735294117647,16.5841176470588,9.81088235294118,1.18882352941176,4.21323529411765,89.1388235294118,6.64852941176471,1.31088235294118,34.78,24.96,17.90,18.09,1.31,98.68,2435,36.8664705882353,63.1335294117647,15.79,25137
VAN ZANDT,48467,43554,36,1416,10.60,89.39,89.29,3.37513513513513,0.413513513513514,2.12864864864865,2.33567567567568,2.41594594594595,7.61783783783784,6.75891891891892,5.64621621621622,9.7827027027027,2.30486486486486,0,94.087027027027,5.91297297297297,2.46378378378378,19.51,36.05,24.05,15.25,4.75,95.24,187,22.6445945945946,77.3554054054054,5.45,30869
VICTORIA,48469,51045,21,1413,46.15,53.84,77.388,6.36784615384615,1.20784615384615,2.54769230769231,0.936307692307692,4.61123076923077,10.8018461538462,4.29230769230769,2.66938461538462,12.1636923076923,3.81538461538462,0.0890769230769231,93.5369230769231,4.83584615384615,0.207076923076923,21.83,30.53,24.55,18.18,12.30,87.69,2365,33.3623076923077,65.0992307692308,17.04,50525
WALKER,48471,40374,23,1810,18.54,81.45,66.7439473684211,21.6013157894737,1.05342105263158,2.06078947368421,2.24578947368421,1.85394736842105,8.29052631578947,5.10578947368421,17.9502631578947,10.5992105263158,1.61289473684211,0,94.1357894736842,5.86421052631579,1.25947368421053,18.09,29.67,27.02,18.70,4.28,95.71,2502,43.1986842105263,54.1697368421053,23.19,29128
WALLER,48473,48184,33,2389,30.62,69.37,60.0736842105263,22.23,0.708947368421053,2.38473684210526,2.08842105263158,2.85263157894737,13.4936842105263,4.07526315789474,4.41578947368421,9.30157894736842,2.18631578947368,0.0347368421052632,95.3831578947368,4.58157894736842,1.93473684210526,20.16,31.38,20.39,21.80,1.42,98.58,263,30.5768421052632,64.16,12.51,27720
WARD,48475,48833,21,1122,54.07,45.92,74.537,4.486,0.733,3.685,0.905,19.318,4.783,4.462,6.916,7.265,2.531,0,96.145,3.855,0.153,26.34,35.99,21.23,12.73,1.81,98.18,2195,21.28,78.72,9.96,5965
WASHINGTON,48477,44419,22,1431,14.60,85.39,71.3429166666667,19.9570833333333,1.36583333333333,1.82083333333333,4.38541666666667,1.45875,13.5691666666667,4.02666666666667,5.37916666666667,11.5120833333333,1.77416666666667,0.0366666666666667,95.4208333333333,4.5425,3.40833333333333,19.77,29.44,18.67,24.29,1.68,98.31,953,29.5716666666667,70.4283333333333,13.56,21582
WEBB,48479,34920,22,1909,95.59,4.40,87.5623404255319,0.579219858156028,0.487234042553192,1.58567375886525,0.656170212765958,2.02375886524823,2.86751773049645,6.39042553191489,7.32283687943262,12.3419858156028,3.6677304964539,0,93.1339007092199,6.86609929078014,0.0601418439716312,39.24,21.33,19.66,15.79,2.58,97.41,6698,40.9079432624114,59.0921276595745,22.14,113002
WHARTON,48481,42167,25,1182,39.34,60.65,70.0468571428571,15.0017142857143,0.575714285714286,2.12257142857143,5.11771428571429,4.50085714285714,8.14771428571429,3.66171428571429,3.78228571428571,14.7962857142857,3.86542857142857,0,94.3231428571428,5.67714285714286,3.714,23.39,34.34,19.97,18.60,1.20,98.79,928,32.0262857142857,67.9737142857143,10.32,23664
WHEELER,48483,46864,19,1166,23.96,76.03,80.658,3.426,0.576,3.376,8.982,8.996,1.446,7.086,5.724,9.366,2.526,0,96.792,3.208,3.596,19.42,38.47,20.88,18.17,0.18,99.81,327,22.882,77.118,2.76,3253
WICHITA,48485,44442,16,1249,19.15,80.84,74.861320754717,10.8144339622642,1.83905660377358,3.19367924528302,0.755188679245283,2.01264150943396,8.51292452830189,6.89424528301887,8.87801886792453,14.3269811320755,2.15320754716981,4.33330188679245,89.4449056603774,5.27867924528302,0.452452830188679,17.86,34.47,24.28,17.75,3.19,96.80,2307,40.3778301886792,58.6787735849057,20.72,69793
WILBARGER,48487,36843,14,1092,29.45,70.54,74.7191666666667,9.44,0.936666666666667,3.06083333333333,4.3375,4.66583333333333,6.84916666666667,4.69,6.7025,10.2491666666667,1.03833333333333,0,96.0358333333333,3.96416666666667,1.79083333333333,26.30,32.44,19.77,15.14,5.85,94.14,1325,38.8716666666667,61.1283333333333,16.76,7649
WILLACY,48489,30460,19,1472,88.56,11.43,85.3,1.32,0.446,2.32733333333333,8.052,0.579333333333333,1.898,4.612,17.1893333333333,11.6233333333333,1.85066666666667,0.012,86.5173333333334,13.4706666666667,5.72533333333333,41.09,25.63,15.51,14.87,1.18,98.81,1359,23.8886666666667,76.1113333333333,6.81,8968
WILLIAMSON,48491,73652,28,1961,24.54,75.45,77.8649794238683,5.95197530864198,4.65444444444445,3.20514403292181,0.684238683127572,0.306584362139918,11.1957613168724,5.17769547325103,6.41975308641975,12.951975308642,2.65810699588477,0.420699588477366,94.9178600823045,4.66131687242798,0.297901234567901,8.83,22.34,25.00,32.86,6.34,93.65,2839,28.1665843621399,71.8334156378601,18.88,268720
WILSON,48493,63880,34,1576,36.84,63.15,89.1403448275862,1.71034482758621,0.382413793103448,2.11275862068966,3.70965517241379,0.811379310344828,8.48068965517241,3.33344827586207,5.74862068965517,10.4355172413793,4.16,0.174827586206897,94.8593103448276,4.9651724137931,0.946206896551724,15.70,35.78,23.89,19.65,5.30,94.69,183,15.5241379310345,84.4758620689655,2.87,27484
WINKLER,48495,49936,23,850,54.04,45.95,73.7177777777778,2.00111111111111,0.296666666666667,3.39666666666667,0.355555555555556,25.0033333333333,3.65,4.97777777777778,2.52888888888889,4.27,1.48,0,95.73,4.27,0.29,29.70,32.30,20.49,14.15,5.49,94.51,1734,17.9588888888889,82.0411111111111,3.28,3514
WISE,48497,56668,30,1755,18.62,81.37,87.2871428571429,1.54285714285714,0.529428571428571,2.20285714285714,1.79142857142857,6.78114285714286,8.29485714285715,7.95714285714286,3.58028571428571,11.2611428571429,1.76085714285714,0.169142857142857,94.4271428571429,5.40371428571429,0.942,16.53,35.81,25.28,17.55,10.46,89.53,177,20.3537142857143,79.6462857142857,5.83,35031
WOOD,48499,43149,28,1511,10.45,89.54,86.8410714285714,5.09642857142857,0.716071428571429,1.71321428571429,2.54035714285714,3.64071428571429,7.24357142857143,6.35178571428571,3.42571428571429,10.6735714285714,1.61071428571429,0,94.1028571428571,5.89714285714286,3.69535714285714,17.94,36.10,24.17,16.66,2.26,97.73,264,22.6546428571429,77.3453571428571,6.99,26614
YOAKUM,48501,53703,17,1371,63.25,36.74,72.0683333333333,1.445,0.361666666666667,3.14833333333333,10.1216666666667,21.84,5.59666666666667,4.22666666666667,5.745,8.84833333333333,2.05833333333333,0,96.835,3.165,8.43166666666667,32.23,30.61,17.97,15.74,1.82,98.17,994,22.95,77.05,3.44,3719
YOUNG,48503,43354,18,1080,20.01,79.98,88.0547058823529,1.53411764705882,0.507058823529412,2.28941176470588,2.68058823529412,10.3741176470588,7.46647058823529,7.68882352941177,3.22882352941176,14.2170588235294,1.37294117647059,0.0188235294117647,95.5894117647059,4.39176470588235,0.985294117647059,21.95,32.23,24.96,16.91,0.45,99.54,1099,28.9723529411765,71.0276470588235,13.55,11345
ZAPATA,48505,32819,19,1612,92.94,7.06,92.5511111111111,0.431111111111111,0.276666666666667,0.621111111111111,3.39,8.34444444444444,1.36333333333333,5.15888888888889,15.1044444444444,10.0522222222222,2.95333333333333,0,94.2777777777778,5.72222222222222,1.49666666666667,44.95,27.58,16.36,8.64,0.00,100.00,1012,20.06,79.94,6.06,6872
ZAVALA,48507,24764,16,1358,91.91,8.08,87.7566666666667,1.12666666666667,0.0522222222222222,1.67,4.90555555555556,2.23555555555556,3.77666666666667,0.812222222222222,12.4155555555556,7.08111111111111,1.64222222222222,0.0644444444444444,87.6044444444445,12.3311111111111,4.16333333333333,36.71,26.06,24.09,11.19,0.00,100.00,1912,28.6222222222222,71.3777777777778,16.89,6024
